Altmetric Attention Score,Publication Date,Number of Dimensions citations
47,3/1/2016,34
263,3/1/2016,29
16,3/2/2016,49
46,3/2/2016,54
2,3/3/2016,26
12,3/3/2016,52
31,3/3/2016,17
49,3/3/2016,12
2,3/4/2016,12
2,3/4/2016,11
3,3/4/2016,3
6,3/4/2016,11
8,3/4/2016,7
2,3/7/2016,16
8,3/7/2016,24
23,3/7/2016,31
69,3/7/2016,140
14,3/8/2016,26
5,3/9/2016,10
68,3/10/2016,73
2,3/11/2016,18
3,3/11/2016,21
4,3/11/2016,17
5,3/11/2016,15
9,3/11/2016,11
39,3/15/2016,28
2,3/16/2016,3
5,3/16/2016,15
74,3/16/2016,23
8,3/17/2016,27
14,3/17/2016,12
19,3/17/2016,11
12,3/21/2016,31
13,3/21/2016,48
117,3/21/2016,24
38,3/22/2016,33
5,3/23/2016,2
7,3/23/2016,11
12,3/23/2016,28
13,3/23/2016,14
6,3/24/2016,91
25,3/24/2016,103
12,3/25/2016,23
17,3/25/2016,22
3,3/28/2016,14
7,3/28/2016,14
7,3/28/2016,20
9,3/28/2016,18
9,3/28/2016,12
11,3/28/2016,26
13,3/28/2016,5
13,3/28/2016,2
18,3/28/2016,18
23,3/28/2016,0
38,3/28/2016,35
10,3/30/2016,8
18,3/30/2016,7
23,3/30/2016,15
23,3/30/2016,39
1,4/1/2016,16
3,4/1/2016,63
8,4/4/2016,29
27,4/4/2016,54
71,4/6/2016,34
13,4/7/2016,37
88,4/7/2016,123
3,4/8/2016,45
2,4/11/2016,2
29,4/11/2016,53
4,4/12/2016,2
4,4/12/2016,25
16,4/12/2016,18
21,4/12/2016,31
3,4/13/2016,43
6,4/15/2016,55
11,4/15/2016,30
11,4/18/2016,22
13,4/18/2016,2
87,4/18/2016,30
159,4/20/2016,30
9,4/21/2016,7
1,4/22/2016,3
5,4/22/2016,2
8,4/22/2016,22
7,4/26/2016,48
9,4/26/2016,14
43,4/27/2016,47
44,4/27/2016,2
12,4/28/2016,39
6,4/30/2016,11
28,4/30/2016,88
5,5/2/2016,30
10,5/2/2016,17
53,5/2/2016,16
16,5/4/2016,116
5,5/5/2016,21
8,5/5/2016,50
8,5/5/2016,4
5,5/7/2016,4
20,5/7/2016,17
55,5/7/2016,33
5,5/9/2016,34
2,5/10/2016,4
1,5/11/2016,19
4,5/11/2016,20
6,5/11/2016,10
4,5/12/2016,115
6,5/12/2016,26
6,5/13/2016,7
21,5/13/2016,62
207,5/13/2016,79
11,5/18/2016,36
9,5/21/2016,16
13,5/21/2016,15
22,5/21/2016,39
24,5/21/2016,30
2,5/23/2016,16
4,5/23/2016,11
11,5/23/2016,46
14,5/23/2016,45
50,5/23/2016,22
3,5/30/2016,8
10,5/30/2016,26
12,5/30/2016,9
24,5/30/2016,17
128,5/30/2016,100
16,5/31/2016,6
4,6/2/2016,7
190,6/6/2016,29
9,6/7/2016,33
24,6/7/2016,12
4,6/8/2016,5
7,6/8/2016,7
13,6/8/2016,11
41,6/8/2016,39
43,6/9/2016,54
13,6/13/2016,23
156,6/13/2016,21
8,6/14/2016,38
14,6/14/2016,13
2,6/16/2016,13
1,6/21/2016,11
24,6/22/2016,17
13,6/28/2016,15
3,6/29/2016,26
5,6/30/2016,10
12,6/30/2016,4
15,7/4/2016,4
18,7/4/2016,3
6,7/8/2016,10
6,7/8/2016,6
10,7/8/2016,0
35,7/8/2016,47
3,7/11/2016,8
6,7/11/2016,4
8,7/11/2016,11
10,7/11/2016,5
16,7/11/2016,12
5,7/14/2016,30
10,7/14/2016,19
2,7/19/2016,5
3,7/19/2016,5
4,7/19/2016,21
8,7/19/2016,31
8,7/19/2016,17
9,7/19/2016,11
326,7/19/2016,380
8,7/20/2016,20
31,7/20/2016,47
1,7/21/2016,19
2,7/25/2016,11
7,7/25/2016,15
17,7/25/2016,56
22,7/25/2016,77
88,7/25/2016,24
4,7/26/2016,3
4,7/26/2016,16
8,7/27/2016,11
11,7/28/2016,7
17,7/29/2016,14
20,7/29/2016,45
28,7/29/2016,17
3,7/30/2016,2
4,7/30/2016,17
4,8/1/2016,13
6,8/1/2016,5
6,8/1/2016,5
6,8/1/2016,2
7,8/1/2016,7
14,8/1/2016,6
30,8/1/2016,12
2,8/2/2016,11
7,8/2/2016,11
33,8/2/2016,23
5,8/3/2016,15
5,8/3/2016,9
39,8/3/2016,15
17,8/4/2016,41
1,8/5/2016,14
16,8/5/2016,11
84,8/6/2016,22
3,8/8/2016,16
1,8/11/2016,18
1,8/11/2016,8
1,8/11/2016,13
7,8/11/2016,12
1,8/12/2016,41
50,8/12/2016,81
15,8/17/2016,27
26,8/18/2016,103
1,8/19/2016,3
2,8/19/2016,27
2,8/19/2016,11
4,8/19/2016,21
14,8/19/2016,41
9,8/23/2016,18
1,8/24/2016,7
1,8/25/2016,30
5,8/25/2016,32
7,8/25/2016,25
9,8/25/2016,3
8,8/26/2016,24
14,8/26/2016,15
5,8/29/2016,44
8,8/29/2016,25
37,8/30/2016,25
27,8/31/2016,22
3,9/2/2016,19
1,9/3/2016,22
5,9/3/2016,8
114,9/3/2016,28
1,9/6/2016,10
1,9/6/2016,12
3,9/6/2016,41
32,9/6/2016,41
7,9/7/2016,24
7,9/8/2016,33
11,9/8/2016,16
3,9/9/2016,27
2,9/12/2016,10
11,9/12/2016,14
23,9/13/2016,37
12,9/14/2016,11
16,9/15/2016,21
13,9/16/2016,3
13,9/19/2016,31
9,9/21/2016,12
11,9/22/2016,12
16,9/22/2016,21
4,9/26/2016,2
22,9/26/2016,21
48,9/26/2016,7
104,9/26/2016,2
7,9/29/2016,19
10,9/29/2016,25
13,10/3/2016,40
16,10/3/2016,20
18,10/3/2016,17
2,10/4/2016,1
11,10/4/2016,10
20,10/4/2016,25
2,10/6/2016,12
5,10/6/2016,10
5,10/7/2016,18
9,10/8/2016,32
12,10/8/2016,6
26,10/8/2016,45
2,10/11/2016,16
2,10/11/2016,49
6,10/11/2016,17
30,10/11/2016,19
17,10/12/2016,50
2,10/13/2016,11
2,10/13/2016,7
18,10/13/2016,22
6,10/15/2016,7
6,10/15/2016,15
270,10/15/2016,18
6,10/18/2016,7
12,10/18/2016,9
94,10/20/2016,91
10,10/25/2016,8
14,10/25/2016,16
5,11/1/2016,2
45,11/1/2016,27
42,11/2/2016,14
10,11/4/2016,12
16,11/4/2016,11
13,11/7/2016,25
8,11/14/2016,32
29,11/15/2016,42
33,11/15/2016,2
7,11/16/2016,33
17,11/16/2016,24
6,11/17/2016,4
8,11/17/2016,5
11,11/18/2016,14
12,11/18/2016,20
18,11/18/2016,16
3,11/21/2016,26
8,11/21/2016,24
10,11/21/2016,21
27,11/21/2016,28
1,11/23/2016,13
3,11/23/2016,7
6,11/23/2016,30
24,11/23/2016,46
14,11/24/2016,37
1,11/25/2016,3
1,11/26/2016,13
2,11/26/2016,2
15,11/28/2016,37
17,11/28/2016,25
19,11/29/2016,69
3,11/30/2016,7
9,12/1/2016,32
84,12/1/2016,21
7,12/5/2016,50
11,12/6/2016,6
97,12/6/2016,80
1,12/9/2016,24
3,12/9/2016,15
5,12/9/2016,4
8,12/9/2016,15
10,12/9/2016,25
16,12/9/2016,34
20,12/9/2016,28
1,12/12/2016,3
2,12/12/2016,8
3,12/12/2016,19
3,12/12/2016,12
20,12/12/2016,54
87,12/12/2016,55
15,12/14/2016,15
1,12/15/2016,8
1,12/16/2016,6
32,12/16/2016,42
22,12/21/2016,15
13,12/22/2016,5
68,12/22/2016,27
18,12/23/2016,24
6,12/26/2016,14
16,12/26/2016,9
18,12/26/2016,29
3,12/27/2016,5
8,12/27/2016,17
4,12/28/2016,21
13,12/30/2016,16
1,1/1/2017,0
3,1/1/2017,0
9,1/3/2017,15
3,1/5/2017,38
7,1/5/2017,5
9,1/5/2017,20
9,1/6/2017,10
18,1/6/2017,9
40,1/7/2017,53
1,1/11/2017,0
19,1/12/2017,24
3,1/16/2017,29
10,1/16/2017,51
19,1/17/2017,18
85,1/18/2017,28
122,1/18/2017,91
17,1/19/2017,16
14,1/20/2017,16
4,1/23/2017,15
6,1/26/2017,5
12,1/26/2017,22
1,1/30/2017,16
24,1/30/2017,31
4,1/31/2017,33
59,2/1/2017,77
1,2/8/2017,18
6,2/9/2017,2
18,2/9/2017,12
47,2/9/2017,49
10,2/13/2017,16
10,2/14/2017,0
85,2/14/2017,17
19,2/15/2017,29
6,2/17/2017,11
19,2/20/2017,28
4,2/21/2017,2
14,2/21/2017,4
4,2/23/2017,17
13,2/23/2017,24
1,3/1/2017,23
5,3/2/2017,15
12,3/4/2017,29
1,3/7/2017,0
80,3/7/2017,22
15,3/8/2017,6
14,3/10/2017,11
44,3/13/2017,73
5,3/15/2017,12
6,3/15/2017,5
5,3/17/2017,20
8,3/17/2017,1
4,3/18/2017,27
1,3/21/2017,41
2,3/21/2017,1
3,3/21/2017,0
3,3/24/2017,6
11,3/24/2017,7
13,3/27/2017,66
2,3/28/2017,2
2,3/30/2017,37
5,3/30/2017,3
6,3/30/2017,25
3,4/3/2017,6
5,4/3/2017,10
2,4/5/2017,18
7,4/5/2017,9
11,4/10/2017,27
21,4/10/2017,15
41,4/10/2017,1
13,4/13/2017,5
18,4/13/2017,12
44,4/13/2017,16
1,4/18/2017,27
3,4/18/2017,10
4,4/18/2017,12
6,4/19/2017,9
1,4/20/2017,3
1,4/20/2017,3
9,4/20/2017,9
25,4/21/2017,15
7,4/28/2017,20
5,5/3/2017,43
2,5/4/2017,0
